"","IPBES","Variables.Standardized","suma"
"1","Learning and inspiration","roads",8
"2","Learning and inspiration","coast",5
"3","Learning and inspiration","elevation",5
"4","Learning and inspiration","LULC",4
"5","Learning and inspiration","seasonal variations of tourist",4
"6","Learning and inspiration","urban areas",4
"7","Maintenance of options","LULC",4
"8","Maintenance of options","elevation",4
"9","Maintenance of options","roads",4
"10","Maintenance of options","water bodies",3
"11","Maintenance of options","grassland",1
"12","Maintenance of options","land ownership",1
"13","Maintenance of options","landform",1
"14","Maintenance of options","points of interest",1
"15","Maintenance of options","precipitation",1
"16","Maintenance of options","relief",1
"17","Maintenance of options","slope",1
"18","Maintenance of options","temperature",1
"19","Maintenance of options","urban areas",1
"20","Physical and psychological experiences","roads",66
"21","Physical and psychological experiences","LULC",42
"22","Physical and psychological experiences","elevation",42
"23","Physical and psychological experiences","water bodies",29
"24","Physical and psychological experiences","slope",27
"25","Supporting identities","roads",34
"26","Supporting identities","LULC",22
"27","Supporting identities","elevation",21
"28","Supporting identities","coast",16
"29","Supporting identities","water bodies",13
