ID;Title;DOI;Authors;Data extraction;Metrics variable;Relational;Intrinsec;Instrumental;Ethical considerations;Transparency;Accessibility;Replicability;Bundles
1;A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;Ikram Mouttaki, Youssef Khomalli, Mohamed Maanan, Ingrida Bagdanavi?i ?t?, Hassan Rhinane, Alban Kuriqi, Quoc Bao Pham, Mehdi Maanan;geolocated photos;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;no;yes;yes;yes;no
68;A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;Daniel R Richards, Daniel A Friess;labelling by humman;no;no;no;yes;no;no;no;no;no
237;Advancing Sustainable Development and Protected Area Management with Social Media-Based Tourism Data;10.3390/su13052427;Katie K Arkema, David M Fisher, Katherine Wyatt, Spencer A Wood, Hanna J Payne;geolocated photos;"Expert knowledge;Correlation analysis";no;no;yes;yes;yes;yes;yes;no
560;Aesthetic appreciation of the cultural landscape through social media: An analysis of revealed preference in the Dutch river landscape;10.1016/j.landurbplan.2018.05.002;Koen F Tieskens, Boris T Van Zanten, Catharina J E Schulp, Peter H Verburg, Heath, Hiking, Cycling, Shannon;labelling by humman;Variance Inflation Factor (VIF);yes;yes;yes;yes;yes;yes;yes;no
175;An Interpretation of Landscape Preferences Based on Geographic and Social Media Data to Understand Different Cultural Ecosystem Services;10.3390/land13020135;Teodoro Semeraro, Hannes Palang, Yuanting Yang, Wei Duan;text analysis;no;yes;no;yes;yes;yes;yes;yes;no
31;Assessing forest recreational potential from social media data and remote sensing technologies data;10.1016/j.ecolind.2023.110165;Federico Lingua, Nicholas C. Coops, Verena C. Griess;labelling by AI;no;no;no;yes;no;yes;yes;yes;no
144;Assessing grassland cultural ecosystem services supply and demand for promoting the sustainable realization of grassland cultural values;10.1016/j.scitotenv.2023.169255;Lan Wang, Lin Huang, Wei Cao, Jun Zhai, Jiangwen Fan, Paulo Pereira;geolocated check-in;no;yes;no;yes;no;yes;yes;yes;no
34;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;Yuqing Zhao, Weibin You, Xueer Lin, Dongjin He;text analysis;no;yes;no;yes;no;no;no;yes;no
528;Assessing the Supply-Demand Matching and Spatial Flow of Urban Cultural Ecosystem Services: Based on Geospatial Data and User Interaction Data;10.3390/land14040773;Linru Li, Yu Bai, Xuefeng Yuan, Feiyan Li;labelling by AI;no;no;no;yes;yes;yes;yes;yes;no
151;Assessment of spatial variability of multiple ecosystem services in grasslands of different intensities;10.1016/j.jenvman.2019.109372;Le Clec'h Solen, Robert Finger, Nina Buchmann, Arjan S Gosal, Lukas Hörtnagl, Olivier Huguenin-Elie, Philippe Jeanneret, Andreas Lüscher, Manuel K Schneider, Robert Huber;geolocated photos;Mallows' Cp;yes;no;yes;no;yes;no;yes;yes
198;Big data and evaluation of cultural ecosystem services: an analysis based on geotagged photographs from social media in Tuscan forest (Italy);10.3832/ifor2821-011;Iacopo Bernetti, Gherardo Chirici, Sandro Sacchelli;geolocated photos;no;no;no;yes;no;no;no;no;no
379;Biodiversity and infrastructure interact to drive tourism to and within Costa Rica;10.1073/pnas.2107662119;;geolocated photos;Variance Inflation Factor (VIF);yes;no;no;yes;yes;yes;yes;no
177;Can We Foresee Landscape Interest? Maximum Entropy Applied to Social Media Photographs: A Case Study in Madrid;10.3390/land11050715;Nicolas Marine, Cecilia Arnaiz-Schmitz, Luis Santos-Cid, María F Schmitz;labelling by humman;no;no;no;yes;yes;no;no;no;no
19;Characterizing nature-based recreation preferences in a Mediterranean small island environment using crowdsourced data;10.1080/26395916.2023.2274594;Laura Costadone, Mario V Balzan;"labelling by AI;labelling by humman";Akaike Information Criterion (AIC);no;no;yes;no;no;no;no;no
29;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;Pedro Clemente, Marta Calvache, Paula Antunes, Rui Santos, Jorge Orestes Cerdeira, Maria João Martins;labelling by humman;Expert knowledge;yes;no;yes;no;no;yes;no;no
566;Continental-scale quantification of landscape values using social media data;10.1073/pnas.1614158113;Boris T Van Zanten, Derek B Van Berkel, Ross K Meentemeyer, Jordan W Smith, Koen F Tieskens, Peter H Verburg, Alexander Stewart Fotheringham, K F T Analyzed;text analysis;no;yes;no;yes;yes;yes;yes;yes;no
28;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;Patrizia Tenerelli, Urska Demsar, Sandra Luque;geolocated photos;no;yes;no;yes;no;no;no;no;no
77;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;Tahlia Daymond, Margaret E Andrew, Halina T Kobryn;labelling by humman;Expert knowledge;yes;no;yes;yes;yes;yes;yes;no
23;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;Rebecca L Hale, Elizabeth M Cook, Bray J Beltrán;text analysis;"Akaike Information Criterion (AIC);Variance Inflation Factor (VIF)";yes;no;yes;no;yes;yes;no;yes
65;Defining and spatially modelling cultural ecosystem services using crowdsourced data;10.1016/j.ecoser.2020.101091;Ilan Havinga, Patrick W Bogaart, Lars Hein, Devis Tuia;"labelling by AI;labelling by humman";no;no;no;yes;yes;yes;yes;yes;no
78;Demand and supply of cultural ecosystem services: Use of geotagged photos to map the aesthetic value of landscapes in Hokkaido;10.1016/j.ecoser.2017.02.009;Nobuhiko Yoshimura, Tsutom Hiura;tags filtering;"Expert knowledge;Correlation analysis";no;no;yes;yes;yes;yes;yes;no
359;Digital conservation in biosphere reserves: Earth observations, social media, and nature’s cultural contributions to people;10.1111/conl.12704;Ana Sofia Vaz, Ricardo A Moreno-Llorca, João F Gonçalves, Joana R Vicente, Pablo F Méndez, Eloy Revilla, Luis Santamaria, Francisco J Bonet-García, João P Honrado, Domingo Alcaraz-Segura, Ana Sofia Vaz, Iecolab;labelling by humman;"Variance Inflation Factor (VIF);Spearman correlation";no;no;yes;yes;yes;yes;yes;no
204;Digital footprints: Incorporating crowdsourced geographic information for protected area management;10.1016/j.apgeog.2017.11.004;Chelsey Walden-Schreiner, Yu-Fai Leung, Laura Tateosian;geolocated photos;Expert knowledge;no;no;yes;yes;yes;yes;yes;no
270;Disparity in Perceptions of Social Values for Ecosystem Services of Urban Green Space: A Case Study in the East Lake Scenic Area, Wuhan;10.3389/fpubh.2020.00370;China Gulnihal Law, Ozbay, Xinli Ke, Min Min, Yuanyuan Chen, Peng Cheng;geolocated photos and text;no;yes;no;no;yes;yes;yes;yes;no
173;Earth observation and social media: Evaluating the spatiotemporal contribution of non-native trees to cultural ecosystem services;10.1016/j.rse.2019.05.012;Ana Sofia Vaz, João F Gonçalves, Paulo Pereira, Frederico Santarém, Joana R Vicente, João P Honrado;labelling by humman;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;yes;yes;yes;yes;no
145;Evaluating the supply and demand of cultural ecosystem services in the Tibetan Plateau of China;10.1007/s10980-022-01467-z;Jinxi Zhang, Chunyang He, Qingxu Huang, Jian Li, Tao Qi;text filtering;Expert knowledge;yes;no;yes;no;yes;yes;yes;no
30;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;Haojie Cao, Miao Wang, Shiliang Su, Mengjun Kang;"labelling by AI;text mining";no;yes;no;yes;no;yes;yes;yes;no
172;Exploring the Influencing Factors of the Recreational Utilization and Evaluation of Urban Ecological Protection Green Belts for Urban Renewal: A Case Study in Shanghai;10.3390/ijerph181910244;Weiqi Zhao, Yun Wang, Dan Chen, Ling Wang, Xiaomin Tang;geolocated sign-in;Variance Inflation Factor (VIF);no;no;yes;no;yes;yes;no;no
209;Geodiversity Supports Cultural Ecosystem Services: an Assessment Using Social Media;10.1007/s12371-022-00665-0;;"labelling by AI;text filtering;sentimental analysis";no;yes;no;yes;yes;yes;yes;yes;no
403;Geolocated social media as a rapid indicator of park visitation and equitable park access;10.1016/j.compenvurbsys.2018.01.007;;geolocated photos;no;no;no;yes;no;yes;yes;yes;no
12;Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments;10.1002/pan3.10199;Lukas Egarter Vigl, | Thomas Marsoner, Valentina Giombini, Caroline Pecher, Heidi Simion, | Egon Stemle, Erich Tasser, Daniel Depellegrin, Lukas Egarter, Sarah Klain;"labelling by AI;text mining";no;yes;yes;yes;yes;yes;yes;yes;yes
408;How can urban green space be planned for a ‘happy city’? Evidence from overhead- to eye-level green exposure metrics;10.1016/j.landurbplan.2024.105131;;"text analysis;labelling by humman;labelling by AI";Correlation analysis;yes;no;yes;no;yes;yes;yes;no
266;How do urban park features affect cultural ecosystem services: Quantified evidence for design practices;10.1016/j.ufug.2022.127713;;"labelling by AI;labelling by humman";Variance Inflation Factor (VIF);yes;no;yes;no;yes;yes;yes;no
411;Identifying the spatiotemporal dynamics of forest ecotourism values with remotely sensed images and social media data: A perspective of public preferences;10.1016/j.jclepro.2022.130715;;text analysis;"Variance Inflation Factor (VIF);Pearson correlation";yes;no;yes;yes;yes;yes;yes;no
240;Landscape management and planning as a spatial organization method connecting CES supply-demand assessment and sustainable tourism development;10.1016/j.jort.2023.100705;Chang Li, Qifan Liang, Beiduo Lin, Jun Zhai;geolocated photos;no;no;no;yes;yes;yes;yes;yes;no
260;Linking modelling and empirical data to assess recreation services provided by coastal habitats: The case of NW Portugal;10.1016/j.ocecoaman.2017.12.022;J Cunha, M Elliott, S Ramos;geolocated photos;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;yes;yes;yes;yes;no
170;Mapping and modeling the impact of climate change on recreational ecosystem services using machine learning and big data;10.1088/1748-9326/ac65a3;Daniel R Rondinel-Oviedo, Naomi Keena -, Anastasiya Shyrokaya, Gabriele Messori, Kyle Manley, Benis N Ego;geolocated photos;Gini coefficient;yes;no;yes;yes;yes;yes;yes;no
542;Mapping multiple stakeholder-perceived cultural ecosystem services in coastal landscapes along the Maritime Silk Road;10.1080/01426397.2025.2501233;Weiwen You, Haiyun Xu, Mujie Ren, Jiaxuan Duan, Rouran Zhang, Thanasis Kizos, Orcid Weiwen;"labelling by AI;labelling by humman";no;no;no;yes;yes;yes;yes;yes;no
215;MaxEnt modelling of the potential distribution areas of cultural ecosystem services using social media data and GIS;10.1007/s10668-020-00692-3;E Seda Arslan, Ömer K Örücü;labelling by humman;no;no;no;yes;no;yes;yes;no;no
191;Modelling cultural ecosystem services in agricultural dykelands and tidal wetlands to inform coastal infrastructure decisions: A social media data approach;10.1016/j.marpol.2023.105533;Qiqi Zhao, Yan Chen, Keshava Pallavi Gone, Emily Wells, Keahna Margeson, Kate Sherren;text analysis;no;yes;no;yes;yes;yes;yes;yes;no
168;POIs-based public preferences mapping on imbalanced supply-demand of recreation services can support sustainable coastal beach management;10.3389/fmars.2024.1288112;Tong Li, Zhiyuan Xiang, Yangfan Li, Agostino Tomasello, Mariangela Sciandra;geolocated check-in;no;yes;no;yes;no;yes;yes;yes;no
444;Quantifying nature-based tourism in protected areas in developing countries by using social big data;10.1016/j.tourman.2018.12.005;;geolocated photos;no;no;no;yes;no;yes;yes;yes;no
62;Quantifying the visual-sensory landscape qualities that contribute to cultural ecosystem services using social media and LiDAR;10.1016/j.ecoser.2018.03.022;Derek B. Van Berkel, Payam Tabrizian, Monica A. Dorning, Lindsey Smart, Doug Newcomb, Megan Mehaffey, Anne Neale, Ross K. Meentemeyer;geolocated photos and text;no;yes*;no;yes;no;yes;yes;no;no
13;Quantifying wildlife watchers' preferences to investigate the overlap between recreational and conservation value of natural areas;10.1111/1365-2664.13274;Francesca Mancini, George M Coghill, David Lusseau, Yolanda Wiersma;labelling by humman;Variance Inflation Factor (VIF);no;no;yes;yes;yes;yes;yes;no
188;Recreation and environmental quality of tropical wetlands: A social media based spatial analysis;10.1016/j.tourman.2018.10.018;Michael Sinclair, Andrea Ghermandi, Sheela A Moses, Sabu Joseph;geolocated photos;Forward mixed variable selection;no;no;yes;yes;yes;yes;yes;no
591;Recreational visits to urban parks and factors affecting park visits: Evidence from geotagged social media data;10.1016/j.landurbplan.2018.08.004;Sai Zhang, Weiqi Zhou;geolocated sign-in;Variance Inflation Factor (VIF);no;no;yes;yes;yes;yes;yes;no
61;Revealing spatial and temporal patterns of outdoor recreation in the European Alps and their surroundings;10.1016/j.ecoser.2017.11.017;Uta Schirpke, Claude Meisch, Thomas Marsoner, Ulrike Tappeiner;labelling by humman;"Variance Inflation Factor (VIF);ordinary least squares (OLS)";no;no;yes;yes;yes;no;no;no
546;Revealing youth-perceived cultural ecosystem services for high-density urban green space management: a deep learning spatial analysis of social media photographs from central Beijing;10.1007/s10980-025-02115-y;Haiyun Xu, Jiaxuan Duan, Mujie Ren, Guohan Zhao, Zhifeng Liu;"labelling by AI;labelling by humman";no;yes;yes;yes;yes;yes;yes;yes;no
11;Scale dependency in drivers of outdoor recreation in England;10.1002/pan3.10042;Laura J Graham |, Felix Eigenbrod, Laura J Graham, Helen Hoyle;"geolocated photos;text filtering";Expert knowledge;no;no;yes;no;yes;yes;yes;no
276;Seasonal influences on preferences for urban blue-green spaces: Integrating land surface temperature into the assessment of cultural ecosystem service value;10.1016/j.scs.2024.105237;Sitong Huang, Xiao Xiao, Tian Tian, Yue Che;geolocated photos;Pearson correlation;yes;no;no;yes;yes;yes;yes;no
146;Snapshots of Nature-Based Recreation Across Rural Landscapes: Insights from Geotagged Photographs in the Northeastern United States;10.1007/s00267-022-01728-2;Harrison Goldspiel, Brannon Barr, Joshua Badding, Diane Kuehn;labelling by AI;Variance Inflation Factor (VIF);no;no;yes;no;no;yes;yes;no
250;Social media and deep learning capture the aesthetic quality of the landscape;10.1038/s41598-021-99282-0;Ilan Havinga, Diego Marcos, Patrick W Bogaart, Lars Hein, Devis Tuia;labelling by AI;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;yes;yes;yes;yes;no
9;Social media and deep learning reveal specific cultural preferences for biodiversity;10.1002/pan3.10466;Ilan Havinga, | Diego Marcos, | Patrick Bogaart, Dario Massimino, Lars Hein, | Devis, Tuia, Devis Tuia, Rachelle Gould, Patrick Bogaart;"labelling by AI;labelling by humman";no;yes;yes;yes;no;yes;yes ;yes;no
54;Spatial analysis of cultural ecosystem services using data from social media: A guide to model selection for research and practice;10.3897/oneeco.8.e95685;Andrew M. Neill, Cathal O'Donoghue, Jane C. Stout;geolocated photos;"Akaike Information Criterion (AIC);Variance Inflation Factor (VIF)";no*;no;yes;no;no;no;no;no
249;Spatial and Temporal Dynamics and Value of Nature-Based Recreation, Estimated via Social Media;;Laura J Sonter, Keri B Watson, Spencer A Wood, Taylor H Ricketts;geolocated photos;Pearson correlation;no;no;yes;yes;yes;yes;yes;no
547;Spatial patterns and interactions among multiple cultural ecosystem services across urban greenspaces;10.1016/j.ecoser.2025.101740;Haojie Cao, Nataly G Miguez, Brittany M Mason, Corey T Callaghan, Jiangxiao Qiu;"labelling by AI;labelling by humman";no;yes;yes;yes;yes;yes;yes;yes;yes
180;The Geographic Spread and Preferences of Tourists Revealed by User-Generated Information on Jeju Island, South Korea;10.3390/land8050073;David M Fisher, Spencer A Wood, Young-Hee Roh, Choong-Ki Kim;geolocated photos and text;no;no;no;yes;yes;no;no;no;no
2;The use of crowdsourced geographic information for spatial evaluation of cultural ecosystem services in the agricultural landscape the case of Chianti Classico (Italy);10.30682/nm1902g;Veronica Alampi Sottini, Elena Barbierato, Iacopo Bernetti, Irene Capecchi, Sara Fabbrizzi, Silvio Menghini;"geolocated photos;tags filtering";no;no;no;yes;no;yes;yes;no;no
137;Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487;Yongjun Li, Lei Xie, Ling Zhang, Lingyan Huang, Yue Lin, Yue Su, Shahtahmassebi Amirreza, Shan He, Congmou Zhu, Sinan Li, Muye Gan, Lu Huang, Ke Wang, Jing Zhang, Xinming Chen, Methodology Yue Lin;text analysis;Expert knowledge;no;no;yes;no;yes;no;yes;no
201;Understanding the dynamic changes in wetland cultural ecosystem services: Integrating annual social media data into the SolVES;10.1016/j.apgeog.2023.102994;Sitong Huang, Tian Tian, Lingge Zhai, Lingzhi Deng, Yue Che;geolocated photos;no;no;no;yes;yes;yes;yes;yes;no
355;Using crowdsourced spatial data from Flickr vs. PPGIS for understanding nature's contribution to people in Southern Norway;10.1002/pan3.10083;Lorena Muñoz, | Vera, Helene Hausner, Claire Runge, Greg Brown, Remi Daigle, Laura Graham;labelling by humman;Correlation analysis;no;yes;yes;yes;yes;yes;yes;no
60;Using image recognition to automate assessment of cultural ecosystem services from social media photographs;10.1016/j.ecoser.2017.09.004;Daniel R Richards, Bige Tunçer;labelling by AI;no;no;no;yes;yes;yes;yes;yes;no
524;Using social media and citizen science to assess cultural ecosystem services along riverine landscapes;10.1002/aqc.4233;;labelling by humman;no;yes;yes;yes;yes;yes;yes;yes;no
22;Using social media data and machine learning to map recreational ecosystem services;10.1016/j.ecolind.2023.110606;Charity Nyelele, Catherine Keske, Min Gon Chung, Han Guo, Benis N Egoh;"labelling by AI;labelling by humman";"Expert knowledge;Variance Inflation Factor (VIF)";yes;no;yes;no;yes;yes;yes;no
477;What are the factors influencing recreational visits to national forest parks in China? Experiments using crowdsourced geospatial data;10.1016/j.ufug.2022.127570;;geolocated photos and text;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;no;yes;yes;yes;no
612;Seasonal variation of cultural ecosystem services in urban blue-green spaces based on the SoLVES model and social media data;10.1016/j.ecolind.2025.114393;"Li, J; Yang, ZF; Guo, JK; Zhou, J; Wang, J; He, K";labelling by humman;no;no;no;yes;no;yes;no;no;no
616;Spatial assessment of tourists' demand for cultural ecosystem services in the Kalajun World Natural Heritage Site, China;10.1016/j.jort.2025.100972;"Shang, N; Cao, KJ";labelling by humman;no;yes;no;yes;no;yes;no;no;no
619;Modelling cultural ecosystem services of river landscapes in the Iberian Peninsula with deep learning and social media images;10.1016/j.jenvman.2025.127667;"Comalada, F; Acuna, V; Garcia, X";"labelling by AI;labelling by humman";no;yes;no;yes;yes;yes;yes;yes;no
