ID;Authors;Article Title;DOI;DOI Link;Supply/demand CES;CES services type original;Initial variables;Final Variables;Most contributing variable;Models used;Best Model;Presence/Abundance model;Original pixel size;Pixel size resampled;Temporality;Social media source data;Type of social media data;Spatial cover;Protect area;Country;Area name;Ecosystem type 1;Ecosystem type 2;Ecosystem type 3;Evaluate changes over time;Excluir;Metrics;Variables Standardized;Type;Variables Originales;Level3;Level2;Level1;CES;IPBES
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;aerodrome;aerodrome;;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);aerodrome;Other;aerodrome;Maritime and Air Transport Infrastructure;Accessibility;Anthropic elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;beaches;beaches;beaches;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);beaches;Other;beaches;Coastal and Marine Places;Natural Environment;Natural elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;campsites;campsites;campsites;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);campsite;Other;campsites;Accommodation;Infrastructure;Anthropic elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;forecast data (future projects);forecast data (future projects);;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);forecast data (future projects);Other;forecast data (future projects);Climate and Weather;Natural Environment;Natural elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;forests;forests;;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);forest;Other;forests;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;host houses;host houses;host houses;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);host houses;Other;host houses;Accommodation;Infrastructure;Anthropic elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;hotels;hotels;hotels;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);hotels;Other;hotels;Accommodation;Infrastructure;Anthropic elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;kitesurf schools;kitesurf schools;kitesurf schools;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);kitesurf schools;Other;kitesurf schools;Coastal and Marine Activities;Recreational Opportunities;Anthropic elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;orchards;orchards;;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);orchards;Original variable;orchards;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Recreation;Physical and psychological experiences
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;oyster farms;oyster farms;oyster farms;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Geolocated photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);oyster farms;Original variable;oyster farms;Coastal and Marine Activities;Recreational Opportunities;Anthropic elements;Recreation;Physical and psychological experiences
