Title;DOI
The use of crowdsourced geographic information for spatial evaluation of cultural ecosystem services in the agricultural landscape the case of Chianti Classico (Italy);10.30682/nm1902g
Social media and deep learning reveal specific cultural preferences for biodiversity;10.1002/pan3.10466
Scale dependency in drivers of outdoor recreation in England;10.1002/pan3.10042
Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments;10.1002/pan3.10199
Quantifying wildlife watchers' preferences to investigate the overlap between recreational and conservation value of natural areas;10.1111/1365-2664.13274
Characterizing nature-based recreation preferences in a Mediterranean small island environment using crowdsourced data;10.1080/26395916.2023.2274594
Using social media data and machine learning to map recreational ecosystem services;10.1016/j.ecolind.2023.110606
Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580
Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042
Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043
Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756
Assessing forest recreational potential from social media data and remote sensing technologies data;10.1016/j.ecolind.2023.110165
Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992
Spatial analysis of cultural ecosystem services using data from social media: A guide to model selection for research and practice;10.3897/oneeco.8.e95685
Using image recognition to automate assessment of cultural ecosystem services from social media photographs;10.1016/j.ecoser.2017.09.004
Revealing spatial and temporal patterns of outdoor recreation in the European Alps and their surroundings;10.1016/j.ecoser.2017.11.017
Quantifying the visual-sensory landscape qualities that contribute to cultural ecosystem services using social media and LiDAR;10.1016/j.ecoser.2018.03.022
Defining and spatially modelling cultural ecosystem services using crowdsourced data;10.1016/j.ecoser.2020.101091
Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566
Demand and supply of cultural ecosystem services: Use of geotagged photos to map the aesthetic value of landscapes in Hokkaido;10.1016/j.ecoser.2017.02.009
Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487
Assessing grassland cultural ecosystem services supply and demand for promoting the sustainable realization of grassland cultural values;10.1016/j.scitotenv.2023.169255
A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056
Snapshots of Nature-Based Recreation Across Rural Landscapes: Insights from Geotagged Photographs in the Northeastern United States;10.1007/s00267-022-01728-2
Assessment of spatial variability of multiple ecosystem services in grasslands of different intensities;10.1016/j.jenvman.2019.109372
POIs-based public preferences mapping on imbalanced supply-demand of recreation services can support sustainable coastal beach management;10.3389/fmars.2024.1288112
Mapping and modeling the impact of climate change on recreational ecosystem services using machine learning and big data;10.1088/1748-9326/ac65a3
Exploring the Influencing Factors of the Recreational Utilization and Evaluation of Urban Ecological Protection Green Belts for Urban Renewal: A Case Study in Shanghai;10.3390/ijerph181910244
Earth observation and social media: Evaluating the spatiotemporal contribution of non-native trees to cultural ecosystem services;10.1016/j.rse.2019.05.012
An Interpretation of Landscape Preferences Based on Geographic and Social Media Data to Understand Different Cultural Ecosystem Services;10.3390/land13020125
Can We Foresee Landscape Interest? Maximum Entropy Applied to Social Media Photographs: A Case Study in Madrid;10.3390/land11050715
The Geographic Spread and Preferences of Tourists Revealed by User-Generated Information on Jeju Island, South Korea;10.3390/land8050073
Recreation and environmental quality of tropical wetlands: A social media based spatial analysis;10.1016/j.tourman.2018.10.018
Modelling cultural ecosystem services in agricultural dykelands and tidal wetlands to inform coastal infrastructure decisions: A social media data approach;10.1016/j.marpol.2023.105533
